reaction,gpr,GO_HKP,DLKcat,MTLKP,TurNup,UniKP,database,fill_method,database_clean,reaction_type,is_complex,base_reaction,is_reverse,Ensemble_Geometric_Mean,Ensemble_Arithmetic_Mean,Ensemble_Median,Ensemble_Weighted
23DAPPAtex_reverse_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,23DAPPAtex,True,,,,
23DOGULNt4pp,b3579 and b3577 and b3578,97.76404181117316,18.0369,5.0895267,28.391902923583984,2.426765719243258,,112645.641475366,,Metabolic (Core),True,23DOGULNt4pp,False,8.917957777722348,13.48627383570681,11.56321335,8.917957777722348
23PDE2pp,b4213,159.51534075283124,7.8436,37.95562,196.96109008789065,2.576584054233915,10.12,,10.12,Metabolic (Core),False,23PDE2pp,False,19.715330891700017,61.334223535531144,22.899610000000003,19.715330891700017
23PDE4pp,b4213,159.51534075283124,2.5142,33.829117,244.0936889648437,3.744908238513749,10.12,,10.12,Metabolic (Core),False,23PDE4pp,False,16.698292104015287,71.04547855083936,18.787012619256874,16.698292104015287
23PDE7pp,b4213,159.51534075283124,4.8133,52.067036,186.72401428222656,6.929868172575557,6899.0368,,6899.0368,Metabolic (Core),False,23PDE7pp,False,23.863422679846483,62.63355461370053,29.49845208628778,23.863422679846483
23PDE9pp,b4213,159.51534075283124,114.7526,45.43411,216.69186401367188,8.515326148078657,6899.0368,,6899.0368,Metabolic (Core),False,23PDE9pp,False,55.69255121482694,96.34847504043763,80.093355,55.69255121482694
26DAHtex_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,26DAHtex,False,,,,
26DAHtex_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,26DAHtex,False,,,,
26DAHtex_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,26DAHtex,False,,,,
26DAHtex_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,26DAHtex,False,,,,
26DAHtex_reverse_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,26DAHtex,True,,,,
26DAHtex_reverse_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,26DAHtex,True,,,,
26DAHtex_reverse_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,26DAHtex,True,,,,
26DAHtex_reverse_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,26DAHtex,True,,,,
2AGPA120tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPA120tipp,False,,,,
2AGPA140tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPA140tipp,False,,,,
2AGPA141tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPA141tipp,False,,,,
2AGPA160tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPA160tipp,False,,,,
2AGPA161tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPA161tipp,False,,,,
2AGPA180tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPA180tipp,False,,,,
2AGPA181tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPA181tipp,False,,,,
2AGPE120tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPE120tipp,False,,,,
2AGPE140tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPE140tipp,False,,,,
2AGPE141tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPE141tipp,False,,,,
2AGPE160tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPE160tipp,False,,,,
2AGPE161tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPE161tipp,False,,,,
2AGPE180tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPE180tipp,False,,,,
2AGPE181tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPE181tipp,False,,,,
2AGPEAT120,b2836,98.49306668197664,0.7744,4.7711473,3.2235896587371826,2.7674026257612505,,112645.641475366,,Metabolic (Core),False,2AGPEAT120,False,2.3960731244027897,2.884134896124608,2.9954961422492166,2.3960731244027897
2AGPEAT140,b2836,98.49306668197664,3.7948,2.803512,3.63122820854187,5.837987692151454,,112645.641475366,,Metabolic (Core),False,2AGPEAT140,False,3.8752703671751356,4.016881975173331,3.7130141042709353,3.8752703671751356
2AGPEAT141,b2836,98.49306668197664,9.4683,,3.4213435649871826,5.727440571245332,,112645.641475366,,Metabolic (Core),False,2AGPEAT141,False,5.703521674883196,6.205694712077505,5.727440571245332,3.6906879106108534
2AGPEAT160,b2836,98.49306668197664,16.4493,5.5366206,1.831045746803284,10.400376497266745,,,,Metabolic (Core),False,2AGPEAT160,False,6.453348373101769,8.554335711017508,7.968498548633372,6.453348373101769
2AGPEAT161,b2836,98.49306668197664,19.0356,,3.4213435649871826,2.5893408021319906,,112645.641475366,,Metabolic (Core),False,2AGPEAT161,False,5.5248118289985175,8.34876145570639,3.4213435649871826,3.603612777479641
2AGPEAT180,b2836,98.49306668197664,115.7661,1.9625669,1.831045746803284,4.69157887104192,,,,Metabolic (Core),False,2AGPEAT180,False,6.646699159031289,31.0628228794613,3.32707288552096,6.646699159031289
2AGPEAT181,b2836,98.49306668197664,3.8553,1.8770452,3.1124603748321533,6.130754302507611,,112645.641475366,,Metabolic (Core),False,2AGPEAT181,False,3.4279751337568287,3.7438899693349414,3.4838801874160765,3.4279751337568287
2AGPG120tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPG120tipp,False,,,,
2AGPG140tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPG140tipp,False,,,,
2AGPG141tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPG141tipp,False,,,,
2AGPG160tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPG160tipp,False,,,,
2AGPG161tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPG161tipp,False,,,,
2AGPG180tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPG180tipp,False,,,,
2AGPG181tipp,b2835,23.0,,,,,,112645.641475366,,Transport,False,2AGPG181tipp,False,,,,
2AGPGAT120,b2836,98.49306668197664,10.7436,,3.4213435649871826,8.126022089600111,,112645.641475366,,Metabolic (Core),False,2AGPGAT120,False,6.684590983920524,7.430321884862432,8.126022089600111,4.157249876983036
2AGPGAT140,b2836,98.49306668197664,8.7881,3.3486996,1.3197332620620728,6.130754302507611,,112645.641475366,,Metabolic (Core),False,2AGPGAT140,False,3.928192966124029,4.896821791142421,4.739726951253806,3.928192966124029
2AGPGAT141,b2836,98.49306668197664,97.5807,,3.4213435649871826,9.490631515381825,,112645.641475366,,Metabolic (Core),False,2AGPGAT141,False,14.687636286901242,36.83089169345633,9.490631515381825,7.502636958597845
2AGPGAT160,b2836,98.49306668197664,97.6527,5.5366206,1.48662006855011,5.212041331239971,,112645.641475366,,Metabolic (Core),False,2AGPGAT160,False,8.045151290987574,27.47199549994752,5.374330965619985,8.045151290987574
2AGPGAT161,b2836,98.49306668197664,16.3454,,1.3197332620620728,4.04186287809693,,112645.641475366,,Metabolic (Core),False,2AGPGAT161,False,4.434259418356932,7.235665380053002,4.04186287809693,3.0557359448120254
2AGPGAT180,b2836,98.49306668197664,15.0285,1.9625669,1.48662006855011,6.47591517554057,,112645.641475366,,Metabolic (Core),False,2AGPGAT180,False,4.104973067523074,6.23840053602267,4.219241037770285,4.104973067523074
2AGPGAT181,b2836,98.49306668197664,33.7149,1.8770452,3.1124603748321533,6.47591517554057,,112645.641475366,,Metabolic (Core),False,2AGPGAT181,False,5.976203772073285,11.29508018759318,4.794187775186362,5.976203772073285
2DDARAA_num1,b4298,136.47847541820553,,,,,,112645.641475366,,Metabolic (Core),False,2DDARAA,False,,,,
2DDARAA_num2,b0268,136.47847541820553,,,,,,112645.641475366,,Metabolic (Core),False,2DDARAA,False,,,,
2DDARAA_reverse_num1,b4298,136.47847541820553,3126.5841,6.137667,23.792036056518555,184.70413182781493,,112645.641475366,,Metabolic (Reverse),False,2DDARAA,True,95.82865976643548,835.3044837210833,104.24808394216674,95.82865976643548
2DDARAA_reverse_num2,b0268,136.47847541820553,,5.536085,25.15447235107422,,,112645.641475366,,Metabolic (Reverse),False,2DDARAA,True,11.800732903752067,15.34527867553711,15.34527867553711,3.435219484072607
2DGLCptspp,b2416 and b1817 and b2415 and b1819 and b1818,152.62479040685164,59.1738,0.96225995,10.40248680114746,14.184827825821973,,112645.641475366,,Metabolic (Core),True,2DGLCptspp,False,9.57405191381005,21.18084364424236,12.293657313484715,9.57405191381005
2DGLCtex_num1,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,2DGLCtex,False,,,,
2DGLCtex_num2,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,2DGLCtex,False,,,,
2DGLCtex_num3,b0241,33.2825,,,,,,112645.641475366,,Transport,False,2DGLCtex,False,,,,
2DGLCtex_num4,b0929,94.8168,,,,,,112645.641475366,,Transport,False,2DGLCtex,False,,,,
2DGLCtex_reverse_num1,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,2DGLCtex,True,,,,
2DGLCtex_reverse_num2,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,2DGLCtex,True,,,,
2DGLCtex_reverse_num3,b0241,33.2825,,,,,,112645.641475366,,Transport,False,2DGLCtex,True,,,,
2DGLCtex_reverse_num4,b0929,94.8168,,,,,,112645.641475366,,Transport,False,2DGLCtex,True,,,,
2DGULRGx,b3553,124.73964281862038,2.2766,,19.29294776916504,0.9309737680315668,,112645.641475366,,Metabolic (Core),False,2DGULRGx,False,3.4451456563742915,7.500173845732203,2.2766,2.5287488078598512
2DGULRGy,b3553,124.73964281862038,2.7274,,22.01556968688965,1.1038974093825238,,112645.641475366,,Metabolic (Core),False,2DGULRGy,False,4.047024430600564,8.615622365424057,2.7274,2.8533291259826212
2DGULRx,b3553,124.73964281862038,1.0461,,19.29294776916504,33.81246352611123,,112645.641475366,,Metabolic (Core),False,2DGULRx,False,8.804057457571986,18.05050376509209,19.29294776916504,5.111073791481069
2DGULRy,b3553,124.73964281862038,0.1046,,22.01556968688965,33.81246352611123,,112645.641475366,,Metabolic (Core),False,2DGULRy,False,4.270179606967207,18.644211071000296,22.01556968688965,2.9705345407128565
2DOXG6PP_num1,b2293,157.17088698230995,1.2724,3.4761665,8.821300506591797,5.160646713364276,,,,Metabolic (Core),False,2DOXG6PP,False,3.7669533693090576,4.682628429989018,4.318406606682138,3.7669533693090576
2DOXG6PP_num2,b3826,173.42795360893282,,4.0478,22.591367721557617,1.7851135665555418,,,,Metabolic (Core),False,2DOXG6PP,False,5.46523876884801,9.474760429371052,4.0478,3.574430484487132
2DOXG6PP_num3,b1727,149.80799644754114,,0.7941894,5.092029571533203,1.7851135665555418,,,,Metabolic (Core),False,2DOXG6PP,False,1.9326814783094681,2.5571108460295817,1.7851135665555418,1.6391557197195414
2DOXG6PP_num4,b0446,173.42795360893282,,1.6524347,17.724365234375,5.2469593410977335,,,,Metabolic (Core),False,2DOXG6PP,False,5.356332953910575,8.207919758490911,5.2469593410977335,3.52087554450945
2HESR_num1,b2989,221.50419686676088,27.1069,8.169506,4.926880836486816,3.6115615622253454,,112645.641475366,,Metabolic (Core),False,2HESR,False,7.9229275128066465,10.953712099678041,6.548193418243408,7.9229275128066465
2HESR_num2,b2302,215.03354492000008,,8.420273,5.245456218719482,10.400376497266745,,112645.641475366,,Metabolic (Core),False,2HESR,False,7.715892471247904,8.022035238662076,8.420273,4.629559019289474
2HPTCOAT,b1400,151.18324760891227,1.761,,5.091606140136719,2.117565282847367,,112645.641475366,,Metabolic (Core),False,2HPTCOAT,False,2.6677819012693478,2.990057140994695,2.117565282847367,2.087433944566539
2MAHMP_num1,b0446,173.42795360893282,2.2478,1.3363798,14.825173377990724,3.0734277155319725,,,,Metabolic (Core),False,2MAHMP,False,3.4204054395655668,5.370695223380674,2.660613857765986,3.4204054395655668
2MAHMP_num2,b1134,157.17088698230995,,0.75591874,2.212373733520508,1.7922015180772033,,,,Metabolic (Core),False,2MAHMP,False,1.4418059569884223,1.5868313305325703,1.7922015180772033,1.3157703985038283
34dhpactex_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,34dhpactex,False,,,,
34dhpactex_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,34dhpactex,False,,,,
34dhpactex_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,34dhpactex,False,,,,
34dhpactex_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,34dhpactex,False,,,,
34dhpactex_reverse_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,34dhpactex,True,,,,
34dhpactex_reverse_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,34dhpactex,True,,,,
34dhpactex_reverse_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,34dhpactex,True,,,,
34dhpactex_reverse_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,34dhpactex,True,,,,
3AMACHYD,b1009,149.80799644754114,71.2875,2.6339014,33.78409957885742,6.495630766497587,,,,Metabolic (Core),False,3AMACHYD,False,14.247433681203615,28.55028293633875,20.139865172677503,14.247433681203615
3AMPtex_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,3AMPtex,False,,,,
3AMPtex_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,3AMPtex,False,,,,
3AMPtex_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,3AMPtex,False,,,,
3AMPtex_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,3AMPtex,False,,,,
3AMPtex_reverse_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,3AMPtex,True,,,,
3AMPtex_reverse_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,3AMPtex,True,,,,
3AMPtex_reverse_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,3AMPtex,True,,,,
3AMPtex_reverse_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,3AMPtex,True,,,,
3CMPtex_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,3CMPtex,False,,,,
3CMPtex_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,3CMPtex,False,,,,
3CMPtex_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,3CMPtex,False,,,,
3CMPtex_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,3CMPtex,False,,,,
3CMPtex_reverse_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,3CMPtex,True,,,,
3CMPtex_reverse_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,3CMPtex,True,,,,
3CMPtex_reverse_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,3CMPtex,True,,,,
3CMPtex_reverse_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,3CMPtex,True,,,,
3GMPtex_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,3GMPtex,False,,,,
3GMPtex_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,3GMPtex,False,,,,
3GMPtex_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,3GMPtex,False,,,,
3GMPtex_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,3GMPtex,False,,,,
3GMPtex_reverse_num1,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,3GMPtex,True,,,,
3GMPtex_reverse_num2,b0241,33.2825,,,,,,112645.641475366,,Transport,False,3GMPtex,True,,,,
3GMPtex_reverse_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,3GMPtex,True,,,,
3GMPtex_reverse_num4,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,3GMPtex,True,,,,
3HAD100_num1,b0954,126.88473466186872,,,,,,8.881378260869566,,Metabolic (Core),False,3HAD100,False,,,,
3HAD100_num2,b0180,118.43411865124476,,,,,,8.881378260869566,,Metabolic (Core),False,3HAD100,False,,,,
3HAD120_num1,b0180,118.43411865124476,,,,,,8.881378260869566,,Metabolic (Core),False,3HAD120,False,,,,
3HAD120_num2,b0954,126.88473466186872,,,,,,8.881378260869566,,Metabolic (Core),False,3HAD120,False,,,,
3HAD121_num1,b0954,126.88473466186872,,,,,,,,Metabolic (Core),False,3HAD121,False,,,,
3HAD121_num2,b0180,118.43411865124476,,,,,,,,Metabolic (Core),False,3HAD121,False,,,,
3HAD140_num1,b0954,126.88473466186872,,,,,,8.881378260869566,,Metabolic (Core),False,3HAD140,False,,,,
3HAD140_num2,b0180,118.43411865124476,,,,,,8.881378260869566,,Metabolic (Core),False,3HAD140,False,,,,
3HAD141_num1,b0954,126.88473466186872,,,,,,,,Metabolic (Core),False,3HAD141,False,,,,
3HAD141_num2,b0180,118.43411865124476,,,,,,,,Metabolic (Core),False,3HAD141,False,,,,
3HAD160_num1,b0954,126.88473466186872,,,,,,8.881378260869566,,Metabolic (Core),False,3HAD160,False,,,,
3HAD160_num2,b0180,118.43411865124476,,,,,,8.881378260869566,,Metabolic (Core),False,3HAD160,False,,,,
3HAD161_num1,b0954,126.88473466186872,,,,,,,,Metabolic (Core),False,3HAD161,False,,,,
3HAD161_num2,b0180,118.43411865124476,,,,,,,,Metabolic (Core),False,3HAD161,False,,,,
3HAD180_num1,b0954,126.88473466186872,,,,,,,,Metabolic (Core),False,3HAD180,False,,,,
3HAD180_num2,b0180,118.43411865124476,,,,,,,,Metabolic (Core),False,3HAD180,False,,,,
3HAD181_num1,b0954,126.88473466186872,,,,,,,,Metabolic (Core),False,3HAD181,False,,,,
3HAD181_num2,b0180,118.43411865124476,,,,,,,,Metabolic (Core),False,3HAD181,False,,,,
3HAD40_num1,b0954,126.88473466186872,,,,,,,,Metabolic (Core),False,3HAD40,False,,,,
3HAD40_num2,b0180,118.43411865124476,,,,,,,,Metabolic (Core),False,3HAD40,False,,,,
3HAD60_num1,b0954,126.88473466186872,,,,,,8.881378260869566,,Metabolic (Core),False,3HAD60,False,,,,
3HAD60_num2,b0180,118.43411865124476,,,,,,8.881378260869566,,Metabolic (Core),False,3HAD60,False,,,,
3HAD80_num1,b0954,126.88473466186872,,,,,,8.881378260869566,,Metabolic (Core),False,3HAD80,False,,,,
3HAD80_num2,b0180,118.43411865124476,,,,,,8.881378260869566,,Metabolic (Core),False,3HAD80,False,,,,
3HBZCT,b0597,149.80799644754114,2.6448,,5.811877250671387,10.400376497266745,,112645.641475366,,Metabolic (Core),False,3HBZCT,False,5.427328516197391,6.285684582646044,5.811877250671387,3.5558184798426717
3HCINNMH,b0347,128.2406734749161,3.0367,1.2820866,3.87712025642395,1.3423129350260046,0.691,,0.691,Metabolic (Core),False,3HCINNMH,False,2.1216345268901304,2.3845549478624886,2.1895064675130023,2.1216345268901304
3HPADHi,b1300,149.80799644754114,0.4232,15.971897,16.749155044555664,2.273522705767711,,112645.641475366,,Metabolic (Core),False,3HPADHi,False,4.005424866073785,8.854443687580844,9.122709852883856,4.005424866073785
3HPPPNH,b0347,128.2406734749161,1.3298,1.3805982,3.87712025642395,7.228125235384933,0.691,,0.691,Metabolic (Core),False,3HPPPNH,False,2.678225513519448,3.453910922952221,2.628859228211975,2.678225513519448
3HPPtex_num1,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,3HPPtex,False,,,,
3HPPtex_num2,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,3HPPtex,False,,,,
3HPPtex_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,3HPPtex,False,,,,
3HPPtex_num4,b0241,33.2825,,,,,,112645.641475366,,Transport,False,3HPPtex,False,,,,
3HPPtex_reverse_num1,b2215,96.2904209055866,,,,,,112645.641475366,,Transport,False,3HPPtex,True,,,,
3HPPtex_reverse_num2,b1377,96.2904209055866,,,,,,112645.641475366,,Transport,False,3HPPtex,True,,,,
3HPPtex_reverse_num3,b0929,94.8168,,,,,,112645.641475366,,Transport,False,3HPPtex,True,,,,
3HPPtex_reverse_num4,b0241,33.2825,,,,,,112645.641475366,,Transport,False,3HPPtex,True,,,,
3KGK,b3580,178.0,12.0658,17.46019,69.82032775878906,5.688412376681967,,,,Metabolic (Core),False,3KGK,False,17.007657869002838,26.25868253386776,14.762995,17.007657869002838
3NTD2pp_num1,b4213,159.51534075283124,51.8008,27.363518,216.69186401367188,20.83005914936328,27.41375,,27.41375,Metabolic (Core),False,3NTD2pp,False,50.29332825940705,79.17156029075878,39.582159000000004,50.29332825940705
